iter	Passed	Remaining
1143	7005	54230
1144	7051	54534
1145	7092	54799
1146	7130	55035
1147	7183	55392
1148	7222	55637
1149	7262	55890
1150	7302	56141
1151	7353	56475
1152	7395	56744
1153	7438	57022
1154	7492	57374
1155	7538	57676
1156	7585	57977
1157	7629	58253
1158	7677	58561
1159	7714	58792
1160	7752	59024
1161	7791	59259
1162	7836	59544
1163	7876	59793
1164	7919	60058
1165	7963	60335
1166	8000	60556
1167	8046	60846
1168	8088	61106
1169	8144	61464
1170	8183	61702
1171	8228	61983
1172	8265	62196
1173	8300	62402
1174	8344	62673
1175	8390	62958
1176	8435	63235
1177	8470	63432
1178	8527	63799
1179	8568	64045
1180	8609	64294
1181	8652	64552
1182	8692	64785
1183	8738	65068
1184	8786	65362
1185	8829	65618
1186	8872	65875
1187	8923	66188
1188	8967	66453
1189	9024	66811
1190	9075	67128
1191	9111	67324
1192	9152	67568
1193	9194	67810
1194	9238	68073
1195	9281	68321
1196	9323	68565
1197	9375	68882
1198	9410	69076
1199	9450	69305
1200	9498	69587
1201	9538	69818
1202	9583	70079
1203	9624	70313
1204	9671	70593
1205	9727	70928
1206	9771	71188
1207	9813	71426
1208	9853	71648
1209	9897	71898
1210	9938	72128
1211	9986	72411
1212	10021	72596
1213	10059	72801
1214	10099	73025
1215	10141	73258
1216	10179	73462
1217	10219	73683
1218	10257	73885
1219	10302	74145
1220	10348	74402
1221	10387	74619
1222	10440	74928
1223	10487	75197
1224	10522	75375
1225	10560	75577
1226	10604	75823
1227	10654	76110
1228	10694	76320
1229	10729	76500
1230	10778	76781
1231	10817	76984
1232	10855	77187
1233	10896	77405
1234	10933	77599
1235	10978	77844
1236	11028	78126
1237	11069	78343
1238	11115	78597
1239	11154	78797
1240	11197	79031
1241	11244	79288
1242	11289	79533
1243	11342	79833
1244	11385	80064
1245	11422	80252
1246	11462	80458
1247	11509	80716
1248	11548	80916
1249	11589	81127
1250	11631	81342
1251	11680	81612
1252	11722	81830
1253	11764	82054
1254	11802	82241
1255	11835	82399
1256	11875	82602
1257	11918	82824
1258	11961	83046
1259	12002	83254
1260	12048	83495
1261	12091	83722
1262	12143	84002
1263	12185	84219
1264	12224	84411
1265	12265	84621
1266	12307	84833
1267	12344	85010
1268	12387	85231
1269	12423	85398
1270	12464	85605
1271	12512	85857
1272	12555	86075
1273	12595	86270
1274	12645	86537
1275	12694	86794
1276	12743	87045
1277	12780	87222
1278	12821	87427
1279	12870	87680
1280	12911	87880
1281	12956	88108
1282	13005	88362
1283	13051	88596
1284	13101	88856
1285	13144	89067
1286	13183	89249
1287	13233	89514
1288	13268	89670
1289	13312	89884
1290	13358	90113
1291	13403	90335
1292	13444	90534
1293	13486	90736
1294	13530	90954
